feed,provider,agencies,icc,nearest_fua,model,n_products,n_od_pairs,currency,price_min,price_max,n_stops,lon,lat,tables,modes
tld-4477,"Lietuvos transporto saugos administracija, Lazdijų r. sav., Utenos r. sav., Šalč",Molėtų r. sav.; Pagėgių sav. +72,LT,Kaunas (44 km),Zone-to-zone OD,336399,98863,EUR,0.0,2850.0,20367,24.0159,55.2997,"fare_attributes,fare_rules",Bus+Other+Rail
man-Lithuania,,Molėtų r. sav.; Pagėgių sav. +72,LT,Kaunas (40 km),Zone-to-zone OD,315075,95009,EUR,0.0,2850.0,19938,24.0175,55.2691,"fare_attributes,fare_rules",Bus+Other+Rail
mdb-1041,Kauno viešasis transportas (KVT),Kauno miesto savivaldybės administracija,LT,Kaunas (1 km),Per-route,4,0,EUR,0.7,1.3,970,23.9298,54.9105,"fare_attributes,fare_rules",Bus+Other
mdb-1044,Vilnius Transport,"SĮ ""Susisiekimo paslaugos""",LT,Vilnius (2 km),Declared only,0,0,,,,1556,25.2731,54.6963,"areas,stop_areas",Bus+Other
mdb-2337,Latvia by Gustavs Svalbe gsvalbe.id.lv,SIA GALSS BUSS; SIA Daugavpils autobusu parks +23,LV,Rīga (22 km),Zone-to-zone OD,1169444,236920,EUR,0.7,14.1,14720,24.4478,56.8582,"fare_attributes,fare_rules",Bus+Other+Rail
man-Latvia,,Vivi,LV,Rīga (17 km),Zone-to-zone OD,85,4504,EUR,1.0,10.9,141,24.4083,56.919,"fare_attributes,fare_rules",Rail
mdb-3385,Pasažieru Vilciens,Vivi,LV,Rīga (17 km),Zone-to-zone OD,85,4504,EUR,1.0,10.9,141,24.4083,56.919,"fare_attributes,fare_rules",Rail
mdb-3496,VTU Valmiera,SIA VTU Valmiera,LV,Rīga (101 km),Zone-to-zone OD,1,1,EUR,1.0,1.0,100,25.4237,57.5353,"fare_attributes,fare_rules",Bus
mdb-3497,Hansabuss,Hansabuss (Jūrmala),LV,Rīga (24 km),Per-route,2,0,EUR,0.9,1.1,208,23.7334,56.962,"fare_attributes,fare_rules",Bus
mdb-3499,Jēkabpils autobusu parks,Jēkabpils autobusu parks,LV,Rīga (118 km),Per-route,1,0,EUR,1.0,1.0,159,25.8704,56.5031,"fare_attributes,fare_rules",Bus
mdb-2092,Warszawski Transport Publiczny (ZTM Warszawa),Warszawski Transport Publiczny,PL,Warszawa (1 km),Per-route,79,0,PLN,3.0,26.0,7284,21.0167,52.2334,"fare_attributes,fare_rules",Bus+Other+Rail
mdb-3156,Rzeszowski Transport Miejski,Rzeszowski Transport Miejski,PL,Rzeszów (3 km),GTFS-Fares v2,48,0,PLN,2.1,23.0,919,21.9907,50.0324,"areas,fare_leg_rules,fare_media,fare_products,fare_transfer_rules,rider_categories,stop_areas",Bus
mdb-3189,Komunikacja miejska w Jarosławiu,Rozkładnik.pl,PL,Rzeszów (46 km),GTFS-Fares v2,16,0,PLN,2.0,7.0,145,22.6722,50.0241,"areas,fare_leg_rules,fare_media,fare_products,fare_transfer_rules,rider_categories,stop_areas",Bus
mdb-2086,Miejski Zakład Komunikacji w Ełku (MZK Ełk),MZK Ełk,PL,Białystok (92 km),Flat,14,0,PLN,2.8,23.0,296,22.3467,53.8263,"fare_attributes,fare_rules",Bus
mdb-2399,ZTM Katowice,ZTM – Zarząd Transportu Metropolitalnego,PL,Katowice (3 km),Flat,8,0,PLN,4.2,13.8,8703,18.9863,50.2909,fare_attributes,Bus+Other
tld-7878,Zarząd Transportu Metropolitalnego (ZTM Transport GZM),ZTM – Zarząd Transportu Metropolitalnego,PL,Katowice (4 km),Flat,8,0,PLN,4.2,13.8,7814,18.9865,50.2962,fare_attributes,Bus+Other
mdb-2090,MZDiK Radom,MZDiK Radom,PL,Radom (1 km),Flat,3,0,PLN,3.6,14.0,705,21.1578,51.398,fare_attributes,Bus
mdb-2091,Warszawska Kolej Dojazdowa (WKD),Warszawska Kolej Dojazdowa,PL,Warszawa (15 km),Flat,3,0,PLN,4.1,9.2,60,20.8461,52.1725,fare_attributes,Bus+Rail
mdb-1072,Wielicka Komunikacja Wewnątrzgminna,Wielicka Komunikacja Wewnątrzgminna,PL,Kraków (9 km),Flat,1,0,PLN,3.0,3.0,74,20.0566,49.9806,"fare_attributes,fare_rules",Bus
mdb-1123,Komunikacja Miejska Łomianki,Komunikacja Miejska Łomianki,PL,Warszawa (16 km),Flat,1,0,PLN,0.0,0.0,74,20.8757,52.3448,fare_attributes,Bus
mdb-2838,Guimabus - Transportes de Guimarães,GUIMABUS - EMPRESA TRANSP. DE GUIMARÃES UNIP LDA,PT,Braga (17 km),Zone-to-zone OD,528,283190,EUR,1.0,9.0,1522,-8.316,41.444,"fare_attributes,fare_rules",Bus
mdb-2836,Mobiave,MobiAve,PT,Braga (22 km),Zone-to-zone OD,0,282208,,,,2452,-8.479,41.3786,fare_rules,Bus
mdb-2837,TUBA - Transportes Urbanos de Barcelos,TUBA,PT,Braga (16 km),Zone-to-zone OD,0,282208,,,,1626,-8.6135,41.5414,fare_rules,Bus
mdb-2357,Metro do Porto,Metro do Porto,PT,Porto (6 km),Zone-to-zone OD,6,169,EUR,1.4,3.65,85,-8.6286,41.1833,"fare_attributes,fare_rules",Other
tld-715,Fertagus,Fertagus,PT,Lisboa (16 km),Zone-to-zone OD,56,111,EUR,1.5,4.6,14,-9.115,38.6255,"fare_attributes,fare_rules",Rail
tld-4257,AUTNA SL,AUTNA,PT,Braga (36 km),Zone-to-zone OD,9,18,EUR,4.0,14.9,8,-8.6919,41.8222,"fare_attributes,fare_rules",Bus
tld-716,Metro de Lisboa (Metro),"Metropolitano de Lisboa, E.P.E.",PT,Lisboa (3 km),Zone-to-zone OD,2,8,EUR,1.9,1.9,74,-9.1462,38.7373,"areas,fare_attributes,fare_leg_rules,fare_media,fare_products,fare_rules,fare_transfer_rules",Other
tld-4316,A Onda - Mobilidade Urbana,A Onda - Mobilidade Urbana,PT,Huelva (156 km),Zone-to-zone OD,2,4,EUR,1.2,1.6,306,-8.6879,37.114,"fare_attributes,fare_rules",Bus
tld-4320,GIRO - Transportes Urbanos,GIRO - Transportes Urbanos,PT,Huelva (117 km),Zone-to-zone OD,2,4,EUR,2.0,2.6,232,-8.242,37.0966,"fare_attributes,fare_rules",Bus
tld-4321,Próximo - Transportes Urbanos de Faro,Próximo - Transportes Urbanos de Faro,PT,Huelva (93 km),Zone-to-zone OD,3,1,EUR,1.35,2.85,184,-7.9388,37.0268,"fare_attributes,fare_rules",Bus
tld-4317,Vai e Vem - Circuito Urbano,Vai e Vem - Circuito Urbano,PT,Huelva (145 km),Zone-to-zone OD,1,1,EUR,1.65,1.65,477,-8.5615,37.1468,"fare_attributes,fare_rules",Bus
tld-4319,Circuito Olhão,CUBO,PT,Huelva (84 km),Zone-to-zone OD,1,1,EUR,1.0,1.0,87,-7.8389,37.0353,"fare_attributes,fare_rules",Bus
mdb-1927,Transportes Urbanos de Braga (TUB),Transportes Urbanos de Braga,PT,Braga (3 km),Flat,6,0,EUR,1.55,2.0,2001,-8.4297,41.5466,"fare_attributes,fare_rules",Bus
mdb-2056,Daytrip Shuttle,Daytrip,PT,Lisboa (85 km),Per-route,3,0,EUR,30.0,42.0,6,-8.8717,39.4892,"fare_attributes,fare_rules",Bus
mdb-1272,"Cascais Próxima, E.M., S.A.",Cascais Próxima,PT,Lisboa (19 km),Flat,2,0,EUR,1.5,2.0,1076,-9.3868,38.7132,"fare_attributes,fare_rules",Bus
mdb-2143,Regia Autonomă De Transport Brașov,RATBV S.A.,RO,Brasov (1 km),Zone-to-zone OD,7,74,RON,0.0,12.0,842,25.6087,45.6598,"areas,fare_attributes,fare_leg_rules,fare_products,fare_rules,networks,route_networks,timeframes",Bus+Other
mdb-2114,Transport Urban Sinaia,Transport Urban Sinaia,RO,Brasov (33 km),Zone-to-zone OD,7,11,RON,3.0,75.0,44,25.548,45.3543,"fare_attributes,fare_rules",Bus+Other
mdb-2116,Compania de Transport Public Iași,SCTP Iasi,RO,Iasi (1 km),Zone-to-zone OD,3,4,RON,4.0,9.0,643,27.576,47.16,"areas,fare_attributes,fare_leg_rules,fare_products,fare_rules,fare_transfer_rules,stop_areas",Bus+Other
mdb-2098,Asociația de Dezvoltare Intercomunitară pentru Transport Public București – Ilfo,STB SA; METROREX SA +3,RO,Bucureşti (1 km),GTFS-Fares v2,5,0,RON,3.0,5.0,4548,26.096,44.4398,"fare_attributes,fare_leg_rules,fare_media,fare_products,fare_transfer_rules,networks,route_networks",Bus+Other
mdb-2868,Societatea Metropolitană de Transport Timișoara,Societatea de Transport Public Timisoara,RO,Timişoara (0 km),Per-route,2,0,RON,5.0,5.0,889,21.2272,45.7511,"fare_attributes,fare_rules",Bus+Other
mdb-2108,Transport Călători Express Ploiești,S.C. „Transport Călători Express” S.A Ploiești,RO,Ploiesti (1 km),Flat,1,0,RON,2.5,2.5,318,26.0208,44.9385,fare_attributes,Bus+Other
mdb-2939,Trafiklab,Samtrafiken i Sverige AB; Trafikverket RDB +152,SE,Örebro (25 km),Declared only,0,0,,,,182418,15.6144,59.265,"areas,stop_areas",Bus+Other+Rail
tld-7891,Scania Transport Services,Scania Transport Services,SE,Stockholm (28 km),Declared only,0,0,,,,19,17.6351,59.1746,"areas,fare_attributes,fare_rules",Bus
mdb-1827,Ljubljanski Potniški Promet,Ljubljanski Potniški Promet,SI,Ljubljana (2 km),Flat,1,0,EUR,1.5,1.5,719,14.5169,46.0555,fare_attributes,Bus
mdb-3478,Kompa Vojka-Kyselica,"Vodohospodárska výstavba, š. p.",SK,Bratislava (30 km),Per-route,1,0,EUR,0.0,0.0,2,17.3838,47.9823,"fare_attributes,fare_rules",Other
tld-3363,"Dopravný podnik Bratislava, a.s.","Dopravný podnik Bratislava, a.s.",SK,Bratislava (5 km),Declared only,0,0,,,,1366,17.1189,48.1583,"fare_attributes,fare_rules",Bus+Other
